,Stations,LAT,LON,ShinjukuMade,ShinjukuDist,TokyoMade,TokyoDist,ShibuyaMade,ShibuyaDist,IkebukuroMade,IkebukuroDist,UenoMade,UenoDist,ShinagawaMade,ShinagawaDist,Lat_Lon
154,茅場町駅,35.679848,139.779,22.11666666666667,10.3 km,6.816666666666666,1.4 km,21.216666666666665,10.5 km,20.816666666666666,12.3 km,8.85,4.8 km,18.15,7.8 km,"35.679848, 139.779"
155,金町駅,35.76954,139.87048000000001,43.96666666666667,28.1 km,31.766666666666666,18.1 km,48.38333333333333,32.3 km,37.8,23.9 km,34.166666666666664,12.6 km,41.43333333333333,24.6 km,"35.76954, 139.87048"
156,仙川駅,35.66236,139.58507,26.45,11.6 km,34.0,20.6 km,31.4,14.5 km,34.516666666666666,17.3 km,37.43333333333333,26.2 km,39.96666666666667,26.0 km,"35.66236, 139.58507"
157,麹町駅,35.684364,139.73731999999998,12.4,3.8 km,12.233333333333333,3.6 km,17.866666666666667,5.3 km,24.78333333333333,10.1 km,18.866666666666667,9.5 km,19.966666666666665,10.3 km,"35.684364, 139.73731999999998"
158,北池袋駅,35.74084000000001,139.71674,24.58333333333333,6.9 km,18.733333333333334,11.4 km,28.33333333333333,18.3 km,10.983333333333333,2.1 km,23.48333333333333,10.1 km,28.15,18.5 km,"35.74084000000001, 139.71674"
159,南阿佐ヶ谷駅,35.699455,139.63556,18.416666666666668,6.0 km,31.3,17.0 km,26.066666666666666,11.7 km,30.066666666666666,11.6 km,46.23333333333333,14.3 km,37.28333333333333,22.4 km,"35.699455, 139.63556"
160,白金高輪駅,35.642853,139.73407,24.85,7.8 km,15.85,6.9 km,11.033333333333333,3.9 km,29.58333333333333,17.4 km,20.75,11.5 km,13.133333333333333,3.9 km,"35.642853, 139.73407"
161,上石神井駅,35.7262,139.59229,39.53333333333333,12.1 km,46.4,26.7 km,44.2,17.2 km,40.25,12.2 km,51.15,25.3 km,55.4,27.9 km,"35.7262, 139.59229"
162,三田駅,35.647938,139.74857,23.7,10.6 km,9.85,5.3 km,16.0,6.3 km,28.316666666666666,17.0 km,14.683333333333335,9.0 km,13.7,3.7 km,"35.647938, 139.74857"
163,駒沢大学駅,35.63305,139.66096000000002,28.9,17.9 km,26.2,22.8 km,17.95,12.5 km,37.516666666666666,23.6 km,31.03333333333333,26.5 km,46.66666666666666,18.2 km,"35.63305, 139.66096000000002"
